unit,sex,age,icd10,resid,time\geo	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 	RS 	TR 
NR,T,Y50-54,C18-C21,TOT_RESID,2011	4885 	82 	102 	131 	53 	766 	8 	33 	66 	520 	491 	91 	501 	2 	15 	32 	3 	200 	4 	186 	63 	483 	125 	262 	23 	88 	38 	67 	450 	41 	63 	105 	328 
NR,T,Y50-54,C22,TOT_IN,2011	2120 	35 	56 	26 	20 	255 	3 	7 	35 	245 	379 	24 	312 	2 	10 	7 	2 	63 	3 	29 	43 	89 	75 	180 	9 	18 	9 	21 	163 	8 	32 	26 	155 
NR,T,Y50-54,C22,TOT_RESID,2011	2114 	36 	56 	26 	20 	255 	3 	7 	34 	245 	378 	24 	309 	2 	10 	7 	2 	63 	3 	28 	42 	89 	75 	182 	9 	18 	9 	21 	161 	8 	31 	26 	155 
NR,T,Y50-54,C25,TOT_IN,2011	3149 	67 	52 	95 	25 	553 	5 	18 	53 	264 	380 	37 	320 	5 	21 	30 	2 	102 	1 	106 	62 	275 	73 	159 	18 	60 	31 	38 	297 	16 	37 	64 	262 
NR,T,Y50-54,C25,TOT_RESID,2011	3147 	67 	52 	96 	25 	553 	5 	18 	52 	263 	378 	37 	320 	5 	21 	30 	2 	101 	1 	106 	62 	275 	73 	161 	18 	60 	31 	38 	297 	16 	36 	64 	261 
NR,T,Y50-54,C32,TOT_IN,2011	1045 	18 	41 	26 	4 	109 	5 	2 	27 	105 	103 	14 	89 	0 	6 	19 	1 	79 	0 	13 	12 	152 	36 	116 	7 	19 	2 	0 	40 	2 	2 	35 	96 
NR,T,Y50-54,C32,TOT_RESID,2011	1042 	18 	41 	26 	4 	109 	5 	2 	27 	105 	103 	14 	86 	0 	6 	19 	1 	79 	0 	12 	11 	152 	36 	118 	7 	19 	2 	0 	40 	2 	2 	35 	96 
NR,T,Y50-54,C33_C34,TOT_IN,2011	14562 	347 	266 	225 	113 	2380 	35 	90 	303 	1370 	2329 	218 	1127 	14 	53 	71 	14 	736 	8 	530 	218 	1534 	270 	916 	71 	129 	63 	90 	1042 	67 	169 	443 	1793 
NR,T,Y50-54,C33_C34,TOT_RESID,2011	14543 	344 	267 	223 	113 	2383 	35 	90 	301 	1372 	2324 	219 	1114 	14 	53 	71 	13 	737 	8 	528 	213 	1537 	270 	919 	70 	131 	63 	90 	1041 	67 	166 	443 	1788 
NR,T,Y50-54,C43,TOT_IN,2011	960 	16 	9 	17 	14 	173 	4 	9 	9 	47 	108 	11 	98 	1 	6 	8 	2 	16 	2 	58 	19 	100 	12 	31 	5 	15 	14 	29 	127 	17 	15 	20 	27 
NR,T,Y50-54,C43,TOT_RESID,2011	959 	17 	9 	17 	14 	174 	4 	9 	9 	47 	107 	11 	98 	1 	6 	8 	2 	16 	2 	58 	19 	100 	11 	31 	5 	15 	14 	29 	126 	17 	14 	20 	27 
NR,T,Y50-54,C50,TOT_IN,2011	6143 	137 	99 	69 	65 	1061 	20 	37 	110 	486 	747 	51 	714 	9 	43 	55 	6 	143 	6 	274 	102 	491 	117 	264 	26 	79 	62 	74 	796 	43 	84 	130 	373 
NR,T,Y50-54,C50,TOT_RESID,2011	6133 	135 	99 	69 	65 	1063 	20 	35 	110 	485 	744 	51 	711 	9 	43 	55 	6 	142 	6 	272 	101 	492 	117 	268 	26 	79 	62 	74 	794 	43 	82 	130 	373 
NR,T,Y50-54,C53,TOT_IN,2011	1214 	23 	48 	31 	6 	169 	10 	11 	17 	86 	70 	20 	61 	2 	9 	34 	2 	39 	1 	16 	16 	216 	31 	187 	4 	32 	4 	9 	60 	7 	7 	49 	55 
NR,T,Y50-54,C53,TOT_RESID,2011	1213 	23 	48 	31 	6 	169 	10 	11 	17 	86 	71 	20 	59 	2 	9 	34 	2 	39 	1 	16 	15 	216 	31 	188 	4 	32 	4 	9 	60 	7 	5 	49 	55 
NR,T,Y50-54,C54_C55,TOT_IN,2011	648 	11 	28 	10 	4 	79 	0 	3 	8 	46 	89 	10 	95 	3 	5 	7 	0 	25 	1 	14 	5 	65 	14 	42 	1 	13 	6 	6 	58 	8 	5 	19 	41 
NR,T,Y50-54,C54_C55,TOT_RESID,2011	648 	11 	28 	9 	4 	80 	0 	3 	8 	46 	89 	10 	93 	3 	5 	7 	0 	25 	1 	14 	5 	65 	13 	44 	1 	14 	6 	6 	58 	8 	5 	19 	41 
NR,T,Y50-54,C56,TOT_IN,2011	1843 	24 	23 	39 	20 	289 	6 	16 	26 	161 	191 	30 	198 	1 	19 	34 	2 	46 	2 	56 	26 	260 	26 	93 	6 	29 	14 	19 	187 	18 	20 	32 	117 
NR,T,Y50-54,C56,TOT_RESID,2011	1842 	23 	23 	39 	20 	289 	6 	16 	26 	160 	191 	30 	198 	1 	19 	34 	2 	46 	2 	56 	26 	261 	26 	93 	6 	29 	14 	19 	187 	18 	20 	32 	117 
NR,T,Y50-54,C61,TOT_IN,2011	493 	11 	11 	11 	5 	99 	4 	1 	1 	38 	51 	7 	26 	0 	1 	6 	0 	10 	1 	28 	7 	65 	6 	24 	4 	6 	4 	10 	56 	5 	6 	11 	40 
NR,T,Y50-54,C61,TOT_RESID,2011	490 	10 	11 	10 	5 	98 	4 	1 	1 	37 	52 	7 	26 	0 	1 	6 	0 	10 	1 	29 	6 	65 	6 	24 	4 	6 	4 	10 	56 	5 	6 	11 	39 
NR,T,Y50-54,C64,TOT_IN,2011	1271 	17 	30 	41 	14 	171 	5 	13 	19 	94 	146 	21 	103 	2 	10 	19 	1 	44 	1 	39 	16 	175 	17 	63 	7 	32 	11 	14 	146 	6 	11 	31 	70 
NR,T,Y50-54,C64,TOT_RESID,2011	1269 	17 	30 	40 	14 	172 	5 	13 	19 	94 	145 	21 	101 	2 	10 	19 	1 	44 	1 	39 	16 	176 	17 	63 	7 	32 	11 	14 	146 	6 	10 	31 	70 
NR,T,Y50-54,C67,TOT_IN,2011	790 	9 	15 	15 	4 	98 	3 	3 	19 	97 	106 	11 	79 	0 	3 	6 	0 	27 	1 	41 	11 	95 	21 	49 	0 	8 	1 	6 	62 	2 	8 	24 	73 
NR,T,Y50-54,C67,TOT_RESID,2011	790 	9 	15 	15 	4 	99 	3 	3 	19 	97 	106 	11 	78 	0 	3 	6 	0 	27 	1 	41 	11 	95 	21 	49 	0 	8 	1 	6 	62 	2 	8 	24 	73 
NR,T,Y50-54,C70-C72,TOT_IN,2011	2385 	58 	60 	51 	34 	366 	7 	16 	94 	195 	249 	31 	198 	1 	12 	23 	3 	45 	2 	79 	40 	214 	61 	143 	13 	28 	25 	30 	307 	26 	37 	58 	254 
NR,T,Y50-54,C70-C72,TOT_RESID,2011	2378 	57 	60 	51 	34 	365 	7 	16 	93 	194 	249 	31 	197 	1 	12 	23 	2 	45 	2 	78 	40 	214 	61 	143 	13 	28 	25 	30 	307 	26 	37 	58 	253 
NR,T,Y50-54,C73,TOT_IN,2011	133 	4 	2 	0 	0 	27 	1 	0 	1 	11 	19 	0 	16 	0 	1 	1 	0 	4 	1 	5 	1 	9 	2 	9 	2 	2 	0 	2 	13 	0 	2 	0 	22 
NR,T,Y50-54,C73,TOT_RESID,2011	133 	4 	2 	0 	0 	27 	1 	0 	1 	11 	18 	0 	16 	0 	1 	1 	0 	4 	1 	5 	1 	9 	2 	10 	2 	2 	0 	2 	13 	0 	2 	0 	22 
NR,T,Y50-54,C81-C85,TOT_IN,2011	1179 	16 	17 	19 	10 	208 	3 	9 	12 	111 	134 	16 	137 	0 	8 	5 	2 	22 	1 	41 	20 	110 	27 	52 	2 	19 	17 	19 	142 	9 	18 	16 	107 
NR,T,Y50-54,C81-C85,TOT_RESID,2011	1175 	16 	17 	18 	10 	208 	3 	8 	12 	110 	132 	16 	139 	0 	8 	5 	2 	22 	1 	41 	19 	110 	27 	52 	2 	20 	17 	19 	141 	9 	18 	16 	107 
NR,T,Y50-54,C88_C90_C96,TOT_IN,2011	630 	15 	3 	13 	10 	112 	1 	4 	24 	40 	70 	7 	73 	0 	3 	3 	0 	15 	0 	24 	12 	69 	10 	25 	4 	11 	3 	13 	66 	9 	9 	17 	61 
NR,T,Y50-54,C88_C90_C96,TOT_RESID,2011	628 	15 	3 	13 	10 	112 	1 	4 	24 	40 	69 	7 	72 	0 	3 	3 	0 	15 	0 	24 	12 	69 	10 	25 	4 	11 	3 	13 	66 	9 	9 	17 	61 
NR,T,Y50-54,C91-C95,TOT_IN,2011	1163 	20 	19 	19 	14 	204 	3 	4 	29 	82 	130 	9 	157 	0 	4 	11 	2 	46 	0 	33 	15 	116 	25 	54 	4 	15 	12 	23 	113 	10 	16 	28 	171 
NR,T,Y50-54,C91-C95,TOT_RESID,2011	1158 	20 	19 	19 	14 	203 	3 	4 	28 	82 	129 	9 	155 	0 	4 	11 	2 	46 	0 	34 	15 	116 	24 	55 	4 	15 	12 	23 	112 	10 	15 	29 	169 
NR,T,Y50-54,C_OTH,TOT_IN,2011	5792 	135 	87 	108 	60 	878 	13 	30 	148 	412 	988 	67 	594 	8 	25 	39 	8 	144 	4 	130 	85 	611 	99 	334 	15 	61 	32 	58 	619 	33 	59 	123 	408 
NR,T,Y50-54,C_OTH,TOT_RESID,2011	5781 	133 	88 	106 	60 	879 	13 	30 	146 	411 	988 	66 	589 	8 	26 	40 	8 	144 	4 	127 	84 	611 	98 	336 	15 	62 	32 	58 	619 	33 	58 	123 	406 
NR,T,Y50-54,D00-D48,TOT_IN,2011	808 	16 	9 	4 	2 	104 	1 	1 	0 	81 	149 	2 	133 	2 	2 	5 	0 	16 	0 	15 	11 	143 	5 	21 	2 	1 	4 	17 	62 	2 	6 	15 	84 
NR,T,Y50-54,D00-D48,TOT_RESID,2011	804 	16 	9 	4 	2 	103 	1 	1 	0 	80 	148 	2 	130 	2 	2 	5 	0 	16 	0 	15 	11 	143 	5 	23 	2 	1 	4 	18 	61 	2 	6 	15 	83 
NR,T,Y50-54,D50-D89,TOT_IN,2011	337 	10 	7 	7 	4 	74 	1 	2 	7 	28 	50 	2 	31 	1 	4 	3 	0 	8 	0 	8 	8 	21 	9 	6 	1 	3 	1 	3 	38 	0 	5 	11 	59 
NR,T,Y50-54,D50-D89,TOT_RESID,2011	335 	10 	7 	7 	4 	74 	1 	2 	7 	27 	50 	2 	31 	1 	4 	3 	0 	8 	0 	7 	8 	21 	9 	6 	1 	3 	1 	3 	38 	0 	5 	11 	59 
NR,T,Y50-54,E,TOT_IN,2011	2869 	52 	40 	51 	43 	650 	9 	12 	53 	181 	377 	34 	372 	4 	17 	18 	2 	90 	0 	79 	100 	260 	70 	70 	5 	33 	21 	37 	189 	18 	38 	64 	617 
NR,T,Y50-54,E,TOT_RESID,2011	2855 	50 	41 	51 	43 	647 	9 	12 	53 	177 	371 	34 	369 	4 	17 	19 	1 	92 	0 	77 	98 	261 	71 	71 	5 	34 	22 	37 	189 	18 	39 	64 	616 
NR,T,Y50-54,E10-E14,TOT_IN,2011	1888 	27 	38 	40 	32 	398 	7 	8 	32 	104 	216 	29 	223 	1 	16 	17 	2 	67 	0 	62 	32 	241 	49 	66 	2 	23 	15 	29 	112 	12 	17 	56 	515 
NR,T,Y50-54,E10-E14,TOT_RESID,2011	1881 	27 	39 	41 	32 	394 	7 	8 	32 	103 	213 	29 	223 	1 	16 	18 	1 	68 	0 	59 	32 	241 	49 	66 	2 	23 	16 	29 	112 	12 	17 	56 	514 
NR,T,Y50-54,E_OTH,TOT_IN,2011	981 	25 	2 	11 	11 	252 	2 	4 	21 	77 	161 	5 	149 	3 	1 	1 	0 	23 	0 	17 	68 	19 	21 	4 	3 	10 	6 	8 	77 	6 	21 	8 	102 
NR,T,Y50-54,E_OTH,TOT_RESID,2011	974 	23 	2 	10 	11 	253 	2 	4 	21 	74 	158 	5 	146 	3 	1 	1 	0 	24 	0 	18 	66 	20 	22 	5 	3 	11 	6 	8 	77 	6 	22 	8 	102 
NR,T,Y50-54,F,TOT_IN,2011	2814 	84 	6 	25 	98 	906 	17 	2 	6 	79 	606 	27 	101 	1 	35 	9 	3 	71 	1 	46 	74 	323 	27 	26 	15 	19 	27 	30 	150 	21 	35 	53 	25 
NR,T,Y50-54,F,TOT_RESID,2011	2809 	82 	6 	25 	98 	907 	17 	2 	6 	79 	607 	27 	98 	1 	35 	9 	3 	71 	1 	43 	74 	324 	26 	27 	15 	19 	27 	30 	150 	21 	35 	53 	25 
NR,T,Y50-54,F01_F03,TOT_IN,2011	75 	1 	0 	0 	1 	7 	1 	1 	0 	14 	5 	0 	3 	0 	0 	0 	0 	9 	1 	0 	0 	2 	: 	: 	0 	4 	0 	1 	25 	0 	1 	1 	1 
NR,T,Y50-54,F01_F03,TOT_RESID,2011	75 	1 	0 	0 	1 	7 	1 	1 	0 	14 	5 	0 	3 	0 	0 	0 	0 	9 	1 	0 	0 	2 	0 	0 	0 	4 	0 	1 	25 	0 	1 	1 	1 
NR,T,Y50-54,F10,TOT_IN,2011	2241 	63 	0 	24 	89 	784 	16 	0 	5 	35 	458 	20 	30 	0 	33 	7 	3 	50 	0 	26 	56 	317 	22 	21 	15 	14 	18 	26 	109 	13 	20 	41 	11 
NR,T,Y50-54,F10,TOT_RESID,2011	2237 	63 	0 	24 	89 	785 	16 	0 	5 	35 	457 	20 	27 	0 	33 	7 	3 	50 	0 	24 	56 	318 	21 	22 	15 	14 	18 	26 	109 	13 	20 	41 	11 
NR,T,Y50-54,F_OTH,TOT_IN,2011	362 	18 	6 	1 	5 	44 	0 	1 	0 	26 	135 	6 	58 	1 	2 	2 	0 	12 	0 	15 	0 	3 	3 	5 	0 	1 	7 	2 	9 	3 	9 	11 	12 
NR,T,Y50-54,F_OTH,TOT_RESID,2011	361 	16 	6 	1 	5 	44 	0 	1 	0 	26 	137 	6 	58 	1 	2 	2 	0 	12 	0 	14 	0 	3 	3 	5 	0 	1 	7 	2 	9 	3 	9 	11 	12 
NR,T,Y50-54,G20,TOT_IN,2011	51 	1 	2 	1 	0 	13 	0 	0 	1 	6 	4 	2 	7 	0 	0 	0 	0 	2 	1 	2 	2 	3 	1 	1 	0 	1 	0 	0 	1 	0 	0 	2 	10 
NR,T,Y50-54,G20,TOT_RESID,2011	51 	1 	2 	1 	0 	13 	0 	0 	1 	6 	4 	2 	7 	0 	0 	0 	0 	2 	1 	2 	2 	3 	1 	1 	0 	1 	0 	0 	1 	0 	0 	2 	10 
NR,T,Y50-54,G30,TOT_IN,2011	64 	1 	1 	2 	0 	6 	0 	4 	10 	2 	7 	0 	2 	0 	0 	1 	0 	2 	0 	3 	0 	3 	1 	7 	0 	3 	1 	0 	8 	0 	1 	0 	12 
NR,T,Y50-54,G30,TOT_RESID,2011	64 	1 	1 	2 	0 	6 	0 	4 	10 	2 	7 	0 	2 	0 	0 	1 	0 	2 	0 	3 	0 	3 	1 	7 	0 	3 	1 	0 	8 	0 	1 	0 	12 
NR,T,Y50-54,G_H,TOT_IN,2011	3330 	62 	37 	70 	39 	634 	13 	27 	68 	243 	477 	34 	271 	4 	24 	30 	6 	69 	2 	111 	43 	285 	65 	94 	4 	42 	41 	55 	480 	20 	50 	66 	200 
NR,T,Y50-54,G_H,TOT_RESID,2011	3333 	62 	37 	70 	39 	634 	13 	27 	68 	242 	476 	33 	268 	4 	24 	30 	6 	69 	2 	111 	43 	286 	66 	95 	4 	43 	41 	55 	485 	20 	44 	66 	199 
NR,T,Y50-54,G_H_OTH,TOT_IN,2011	3225 	60 	34 	67 	39 	615 	13 	23 	67 	235 	466 	32 	262 	4 	24 	29 	6 	65 	1 	106 	41 	279 	63 	86 	4 	38 	40 	55 	471 	20 	49 	64 	178 
NR,T,Y50-54,G_H_OTH,TOT_RESID,2011	3228 	60 	34 	67 	39 	615 	13 	23 	67 	234 	465 	31 	259 	4 	24 	29 	6 	65 	1 	106 	41 	280 	64 	87 	4 	39 	40 	55 	476 	20 	43 	64 	177 
NR,T,Y50-54,I,TOT_IN,2011	33542 	527 	1692 	893 	224 	4819 	156 	206 	864 	1831 	2309 	444 	2297 	47 	476 	615 	22 	1587 	26 	727 	431 	5146 	405 	3261 	122 	684 	364 	343 	3024 	168 	269 	1060 	4197 
NR,T,Y50-54,I,TOT_RESID,2011	33391 	518 	1692 	866 	227 	4882 	154 	207 	842 	1780 	2292 	426 	2206 	40 	476 	618 	16 	1586 	23 	700 	410 	5176 	410 	3296 	126 	697 	363 	340 	3022 	173 	256 	1064 	4170 
NR,T,Y50-54,I20-I25,TOT_IN,2011	14913 	212 	399 	447 	100 	2277 	70 	125 	564 	830 	815 	239 	996 	41 	249 	342 	11 	809 	17 	281 	269 	1669 	160 	1454 	64 	345 	186 	183 	1759 	97 	121 	362 	2056 
NR,T,Y50-54,I20-I25,TOT_RESID,2011	14839 	211 	402 	429 	103 	2319 	69 	126 	545 	809 	810 	229 	953 	33 	248 	343 	8 	809 	16 	269 	250 	1681 	159 	1476 	65 	351 	184 	181 	1761 	101 	113 	364 	2039 
NR,T,Y50-54,I20_I23-I25,TOT_IN,2011	5752 	48 	127 	235 	45 	618 	49 	78 	133 	280 	211 	60 	291 	5 	192 	294 	1 	448 	7 	49 	72 	644 	20 	441 	23 	190 	113 	63 	1015 	29 	62 	84 	489 
NR,T,Y50-54,I20_I23-I25,TOT_RESID,2011	5726 	48 	128 	225 	46 	623 	49 	78 	131 	272 	210 	57 	273 	5 	191 	295 	1 	443 	6 	47 	69 	650 	20 	453 	23 	195 	111 	62 	1015 	31 	59 	86 	486 
NR,T,Y50-54,I21_I22,TOT_IN,2011	9161 	164 	272 	212 	55 	1659 	21 	47 	431 	550 	604 	179 	705 	36 	57 	48 	10 	361 	10 	232 	197 	1025 	140 	1013 	41 	155 	73 	120 	744 	68 	59 	278 	1567 
NR,T,Y50-54,I21_I22,TOT_RESID,2011	9113 	163 	274 	204 	57 	1696 	20 	48 	414 	537 	600 	172 	680 	28 	57 	48 	7 	366 	10 	222 	181 	1031 	139 	1023 	42 	156 	73 	119 	746 	70 	54 	278 	1553 
NR,T,Y50-54,I30-I51,TOT_IN,2011	7354 	179 	685 	150 	42 	1010 	26 	31 	83 	412 	585 	44 	511 	4 	103 	109 	3 	271 	3 	206 	58 	1852 	56 	346 	16 	117 	78 	55 	319 	23 	64 	324 	886 
NR,T,Y50-54,I30-I51,TOT_RESID,2011	7332 	178 	684 	145 	42 	1023 	26 	31 	83 	401 	579 	41 	488 	5 	104 	111 	3 	271 	3 	200 	58 	1858 	58 	352 	17 	120 	78 	54 	319 	23 	63 	325 	879 
NR,T,Y50-54,I60-I69,TOT_IN,2011	6374 	75 	336 	135 	53 	711 	20 	32 	151 	349 	483 	108 	455 	1 	82 	96 	4 	296 	3 	146 	58 	1034 	134 	804 	23 	138 	52 	53 	542 	32 	33 	232 	824 
NR,T,Y50-54,I60-I69,TOT_RESID,2011	6337 	71 	333 	134 	53 	716 	20 	31 	149 	338 	483 	107 	432 	1 	82 	96 	3 	295 	2 	141 	55 	1043 	136 	812 	23 	138 	52 	53 	538 	33 	30 	233 	822 
NR,T,Y50-54,I_OTH,TOT_IN,2011	4901 	61 	272 	161 	29 	821 	40 	18 	66 	240 	426 	53 	335 	1 	42 	68 	4 	211 	3 	94 	46 	591 	55 	657 	19 	84 	48 	52 	404 	16 	51 	142 	431 
NR,T,Y50-54,I_OTH,TOT_RESID,2011	4883 	58 	273 	158 	29 	824 	39 	19 	65 	232 	420 	49 	333 	1 	42 	68 	2 	211 	2 	90 	47 	594 	57 	656 	21 	88 	49 	52 	404 	16 	50 	142 	430 
NR,T,Y50-54,J,TOT_IN,2011	5838 	150 	144 	160 	76 	927 	23 	30 	118 	476 	459 	39 	301 	4 	48 	58 	5 	268 	4 	178 	52 	666 	117 	530 	6 	108 	33 	40 	818 	37 	40 	132 	703 
NR,T,Y50-54,J,TOT_RESID,2011	5824 	150 	143 	156 	76 	931 	22 	30 	117 	466 	463 	37 	288 	4 	48 	58 	5 	268 	3 	179 	53 	666 	117 	534 	6 	111 	33 	40 	820 	38 	39 	132 	703 
NR,T,Y50-54,J09-J11,TOT_IN,2011	244 	3 	0 	6 	6 	27 	1 	0 	12 	23 	33 	5 	22 	2 	3 	2 	0 	4 	: 	9 	3 	17 	7 	1 	0 	3 	1 	1 	53 	1 	1 	3 	3 
NR,T,Y50-54,J09-J11,TOT_RESID,2011	244 	3 	0 	6 	6 	28 	1 	0 	12 	23 	33 	5 	21 	2 	3 	2 	0 	4 	: 	9 	3 	17 	7 	1 	0 	3 	1 	1 	53 	1 	1 	3 	3 
NR,T,Y50-54,J12-J18,TOT_IN,2011	1837 	34 	57 	78 	18 	212 	12 	6 	11 	118 	112 	8 	69 	2 	31 	33 	0 	33 	1 	50 	8 	326 	52 	260 	0 	53 	11 	10 	232 	5 	12 	25 	78 
NR,T,Y50-54,J12-J18,TOT_RESID,2011	1831 	35 	56 	74 	18 	213 	11 	6 	11 	116 	114 	7 	65 	2 	31 	33 	0 	34 	1 	50 	8 	324 	52 	260 	0 	56 	11 	11 	232 	5 	12 	25 	78 
NR,T,Y50-54,J40-J44_J47,TOT_IN,2011	2147 	78 	32 	53 	36 	489 	5 	11 	15 	115 	132 	22 	85 	0 	7 	12 	2 	191 	1 	98 	34 	158 	24 	171 	5 	32 	16 	17 	306 	25 	18 	52 	424 
NR,T,Y50-54,J40-J44_J47,TOT_RESID,2011	2143 	76 	32 	53 	36 	489 	5 	11 	16 	114 	133 	22 	83 	0 	7 	12 	2 	190 	1 	97 	34 	159 	24 	172 	5 	32 	16 	16 	306 	26 	18 	52 	424 
NR,T,Y50-54,J40-J47,TOT_IN,2011	2365 	85 	32 	57 	40 	537 	6 	12 	19 	131 	164 	23 	89 	0 	10 	13 	2 	197 	2 	100 	37 	177 	28 	181 	5 	34 	18 	20 	346 	27 	19 	62 	466 
NR,T,Y50-54,J40-J47,TOT_RESID,2011	2362 	83 	32 	57 	40 	537 	6 	12 	20 	130 	165 	23 	86 	0 	10 	13 	2 	196 	2 	100 	38 	178 	28 	182 	5 	34 	18 	19 	346 	28 	18 	62 	466 
NR,T,Y50-54,J45_J46,TOT_IN,2011	218 	7 	0 	4 	4 	48 	1 	1 	4 	16 	32 	1 	4 	0 	3 	1 	0 	6 	1 	2 	3 	19 	4 	10 	0 	2 	2 	3 	40 	2 	1 	10 	42 
NR,T,Y50-54,J45_J46,TOT_RESID,2011	219 	7 	0 	4 	4 	48 	1 	1 	4 	16 	32 	1 	3 	0 	3 	1 	0 	6 	1 	3 	4 	19 	4 	10 	0 	2 	2 	3 	40 	2 	0 	10 	42 
NR,T,Y50-54,J_OTH,TOT_IN,2011	1392 	28 	55 	19 	12 	151 	4 	12 	76 	204 	150 	3 	121 	0 	4 	10 	3 	34 	1 	19 	4 	146 	30 	88 	1 	18 	3 	9 	187 	4 	8 	42 	156 
NR,T,Y50-54,J_OTH,TOT_RESID,2011	1387 	29 	55 	19 	12 	153 	4 	12 	74 	197 	151 	2 	116 	0 	4 	10 	3 	34 	0 	20 	4 	147 	30 	91 	1 	18 	3 	9 	189 	4 	8 	42 	156 
NR,T,Y50-54,K,TOT_IN,2011	13510 	224 	280 	351 	175 	2300 	56 	55 	114 	779 	1295 	146 	649 	6 	80 	241 	15 	761 	4 	167 	237 	1615 	278 	1415 	73 	351 	242 	84 	1517 	46 	95 	150 	385 
NR,T,Y50-54,K,TOT_RESID,2011	13472 	224 	279 	344 	175 	2304 	55 	54 	114 	769 	1286 	146 	623 	4 	81 	243 	14 	760 	3 	164 	233 	1620 	275 	1422 	73 	358 	244 	84 	1521 	46 	88 	151 	383 
NR,T,Y50-54,K25-K28,TOT_IN,2011	546 	7 	6 	14 	8 	80 	8 	2 	9 	11 	15 	8 	15 	0 	6 	14 	0 	44 	1 	6 	7 	110 	10 	38 	5 	24 	8 	8 	82 	4 	3 	14 	16 
NR,T,Y50-54,K25-K28,TOT_RESID,2011	546 	6 	6 	13 	8 	80 	8 	2 	9 	11 	16 	8 	15 	0 	7 	14 	0 	43 	1 	6 	7 	110 	10 	39 	5 	25 	8 	8 	81 	4 	3 	14 	16 
NR,T,Y50-54,K70_K73_K74,TOT_IN,2011	9425 	149 	195 	253 	116 	1667 	38 	39 	59 	496 	923 	107 	410 	2 	45 	164 	11 	591 	2 	90 	184 	1070 	172 	1085 	60 	246 	186 	49 	1016 	18 	63 	81 	149 
NR,T,Y50-54,K70_K73_K74,TOT_RESID,2011	9406 	151 	193 	249 	116 	1671 	37 	39 	59 	490 	918 	107 	393 	2 	45 	164 	10 	591 	1 	88 	181 	1073 	170 	1090 	60 	250 	187 	49 	1022 	18 	61 	81 	148 
NR,T,Y50-54,K_OTH,TOT_IN,2011	3539 	68 	79 	84 	51 	553 	10 	14 	46 	272 	357 	31 	224 	4 	29 	63 	4 	126 	1 	71 	46 	435 	96 	292 	8 	81 	48 	27 	419 	24 	29 	55 	220 
NR,T,Y50-54,K_OTH,TOT_RESID,2011	3520 	67 	80 	82 	51 	553 	10 	13 	46 	268 	352 	31 	215 	2 	29 	65 	4 	126 	1 	70 	45 	437 	95 	293 	8 	83 	49 	27 	418 	24 	24 	56 	219 
NR,T,Y50-54,L,TOT_IN,2011	114 	1 	2 	2 	2 	17 	0 	1 	5 	8 	3 	0 	6 	0 	2 	3 	1 	7 	0 	3 	2 	4 	1 	5 	0 	5 	2 	3 	29 	1 	2 	4 	10 
NR,T,Y50-54,L,TOT_RESID,2011	114 	1 	2 	2 	2 	17 	0 	1 	5 	8 	3 	0 	6 	0 	2 	3 	1 	7 	0 	3 	2 	4 	1 	5 	0 	5 	2 	3 	29 	1 	2 	4 	9 
NR,T,Y50-54,M,TOT_IN,2011	429 	12 	5 	5 	5 	74 	4 	5 	10 	32 	54 	4 	49 	2 	0 	3 	0 	17 	0 	9 	5 	35 	8 	5 	3 	3 	2 	6 	72 	8 	3 	8 	55 
NR,T,Y50-54,M,TOT_RESID,2011	427 	12 	5 	5 	5 	74 	4 	5 	10 	32 	54 	3 	49 	2 	0 	3 	0 	17 	0 	9 	5 	35 	7 	5 	3 	3 	2 	6 	72 	8 	3 	8 	55 
NR,T,Y50-54,M_OTH,TOT_IN,2011	366 	12 	3 	3 	4 	67 	2 	4 	10 	30 	50 	4 	41 	2 	0 	2 	0 	14 	0 	7 	4 	24 	7 	5 	2 	1 	2 	5 	61 	5 	3 	6 	41 
NR,T,Y50-54,M_OTH,TOT_RESID,2011	364 	12 	3 	3 	4 	67 	2 	4 	10 	30 	50 	3 	41 	2 	0 	2 	0 	14 	0 	7 	4 	24 	6 	5 	2 	1 	2 	5 	61 	5 	3 	6 	41 
NR,T,Y50-54,N,TOT_IN,2011	921 	16 	42 	22 	9 	157 	1 	4 	17 	66 	66 	11 	73 	4 	3 	11 	1 	25 	1 	16 	10 	149 	21 	89 	2 	14 	3 	4 	84 	0 	2 	52 	302 
NR,T,Y50-54,N,TOT_RESID,2011	917 	16 	42 	22 	9 	158 	1 	4 	17 	65 	65 	11 	71 	4 	3 	11 	1 	25 	1 	17 	10 	149 	21 	89 	2 	14 	3 	4 	82 	0 	2 	52 	302 
NR,T,Y50-54,N00-N29,TOT_IN,2011	776 	11 	42 	19 	8 	128 	1 	3 	17 	51 	42 	9 	67 	4 	0 	9 	1 	18 	1 	11 	9 	146 	18 	88 	2 	13 	2 	3 	53 	0 	2 	51 	278 
NR,T,Y50-54,N00-N29,TOT_RESID,2011	772 	11 	42 	19 	8 	129 	1 	3 	17 	50 	41 	9 	65 	4 	0 	9 	1 	18 	1 	12 	9 	146 	18 	88 	2 	13 	2 	3 	51 	0 	2 	51 	278 
